timepoint,bw_date,ID,species,colony,coralID,colony_ID,home_reef,transplant_reef,collection_site,transplant_site,transplant,pale or bleached,partial mortality,mortality,months,mort,tod
T4,NA,PSTR 2 7,PSTR,P2,7,NSP2,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,dead,60,1,60
T0,12/11/17,PSTR 2 8,PSTR,P2,8,NSP2,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,0,0,60
T1,3/7/18,PSTR 2 8,PSTR,P2,8,NSP2,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,3,0,60
T2,9/26/18,PSTR 2 8,PSTR,P2,8,NSP2,NS,OS,False Caye,Silk Cayes,OS Transplant,Y,N,alive,9,0,60
T3,5/31/19,PSTR 2 8,PSTR,P2,8,NSP2,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,17,0,60
T4,NA,PSTR 2 8,PSTR,P2,8,NSP2,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,dead,60,1,60
T0,12/11/17,PSTR 3 10,PSTR,P3,10,NSP3,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,0,0,60
T1,3/7/18,PSTR 3 10,PSTR,P3,10,NSP3,NS,OS,False Caye,Silk Cayes,OS Transplant,N,Y,alive,3,0,60
T2,9/26/18,PSTR 3 10,PSTR,P3,10,NSP3,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,9,0,60
T3,5/31/19,PSTR 3 10,PSTR,P3,10,NSP3,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,17,0,60
T4,NA,PSTR 3 10,PSTR,P3,10,NSP3,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,dead,60,1,60
T0,12/11/17,PSTR 3 11,PSTR,P3,11,NSP3,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,0,0,60
T1,3/7/18,PSTR 3 11,PSTR,P3,11,NSP3,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,3,0,60
T2,9/26/18,PSTR 3 11,PSTR,P3,11,NSP3,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,9,0,60
T3,5/31/19,PSTR 3 11,PSTR,P3,11,NSP3,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,17,0,60
T4,NA,PSTR 3 11,PSTR,P3,11,NSP3,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,dead,60,1,60
T0,12/12/17,PSTR 3 14,PSTR,P3,14,OSP3,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,0,0,NA
