timepoint,bw_date,ID,species,collection_site,transplant_site,treatment,mortality,bw,bw_sd,bw_se
T1,3/8/2018,SSID 3 4,SSID,NS,NS,NS Native,alive,33.31210526,0,0
T1,3/8/2018,SSID 3 5,SSID,NS,NS,NS Native,alive,32.00887719,0.011547005,0.008164966
T1,3/8/2018,SSID 3 6,SSID,NS,NS,NS Native,alive,39.18660526,0,0
T1,3/7/2018,SSID 3 7,SSID,NS,OS,OS Transplant,alive,23.32460999,0.005773503,0.004082483
T1,3/7/2018,SSID 3 8,SSID,NS,OS,OS Transplant,alive,30.49604733,0.005773503,0.004082483
T1,3/7/2018,SSID 3 9,SSID,NS,OS,OS Transplant,alive,20.59753725,0,0
T1,3/7/2018,SSID 3 10,SSID,NS,OS,OS Transplant,alive,34.82415425,0.005773503,0.004082483
T1,3/7/2018,SSID 3 11,SSID,NS,OS,OS Transplant,alive,32.92085013,0.005773503,0.004082483
T1,3/7/2018,SSID 3 12,SSID,NS,OS,OS Transplant,alive,28.87840491,0,0
T1,3/6/2018,SSID 3 14,SSID,OS,OS,OS Native,alive,14.89094654,0.005773503,0.004082483
T1,3/6/2018,SSID 3 15,SSID,OS,OS,OS Native,alive,13.13711656,0.005773503,0.004082483
T1,3/6/2018,SSID 3 16,SSID,OS,OS,OS Native,alive,9.45340929,0.005773503,0.004082483
T1,3/6/2018,SSID 3 17,SSID,OS,OS,OS Native,alive,14.85773006,0.01,0.007071068
T1,3/6/2018,SSID 3 18,SSID,OS,OS,OS Native,alive,9.675959684,0,0
T1,3/6/2018,SSID 3 19,SSID,OS,OS,OS Native,alive,9.390297984,0.005773503,0.004082483
T1,3/9/2018,SSID 3 20,SSID,OS,NS,NS Transplant,alive,14.96717544,0.005773503,0.004082483
T1,3/9/2018,SSID 3 21,SSID,OS,NS,NS Transplant,alive,14.32885965,0.005773503,0.004082483
T1,3/9/2018,SSID 3 22,SSID,OS,NS,NS Transplant,alive,21.51323684,4.35E-15,3.08E-15
T1,3/9/2018,SSID 3 23,SSID,OS,NS,NS Transplant,alive,13.84347368,0.01,0.007071068
T1,3/9/2018,SSID 3 24,SSID,OS,NS,NS Transplant,alive,26.77601754,0.005773503,0.004082483
T1,3/9/2018,SSID 3 25,SSID,OS,NS,NS Transplant,alive,10.09336842,0,0
T1,3/8/2018,SSID 4 1,SSID,NS,NS,NS Native,alive,15.62753281,0,0
T1,3/8/2018,SSID 4 2,SSID,NS,NS,NS Native,alive,14.12214348,0.005773503,0.004082483
T1,3/8/2018,SSID 4 3,SSID,NS,NS,NS Native,alive,18.70131234,0,0
T1,3/8/2018,SSID 4 4,SSID,NS,NS,NS Native,alive,16.97044619,0,0
T1,3/8/2018,SSID 4 5,SSID,NS,NS,NS Native,alive,23.60543307,0,0
T1,3/8/2018,SSID 4 6,SSID,NS,NS,NS Native,alive,23.09811024,0,0
T1,3/7/2018,SSID 4 7,SSID,NS,OS,OS Transplant,dead,9.475,0,0
T1,3/7/2018,SSID 4 8,SSID,NS,OS,OS Transplant,alive,11.21374561,0.005773503,0.004082483
T1,3/7/2018,SSID 4 9,SSID,NS,OS,OS Transplant,alive,10.64192105,0,0
T1,3/7/2018,SSID 4 10,SSID,NS,OS,OS Transplant,missing,NA,NA,NA
T1,3/7/2018,SSID 4 11,SSID,NS,OS,OS Transplant,alive,17.48054386,0.005773503,0.004082483
T1,3/7/2018,SSID 4 12,SSID,NS,OS,OS Transplant,dead,7.55672807,0.005773503,0.004082483
T1,3/6/2018,SSID 4 14,SSID,OS,OS,OS Native,alive,8.09063867,0.005773503,0.004082483
T1,3/6/2018,SSID 4 15,SSID,OS,OS,OS Native,alive,7.324680665,0.005773503,0.004082483
T1,3/6/2018,SSID 4 16,SSID,OS,OS,OS Native,alive,13.54187227,0.005773503,0.004082483
T1,3/6/2018,SSID 4 17,SSID,OS,OS,OS Native,alive,7.954689414,0.005773503,0.004082483
